HIJRAH,Hijri Month,Days,Julian Month,Year,Birth Year,Days,Event Summary,Event Description
-51 AH,10 Rabi al Awwal,Tue,Apr 21,571,1,2,"Jew witnessed the seal of Prophethood
","In this regard, the incident of a Jew is strange. Hisham bin Arwah narrates on the authority of his father and Umm al-Mu'minin Hazrat Aisha Siddiqa Tahira, may Allah be pleased with her, that a Jew used to live in Makkah and do business. On the day the Holy Prophet (peace and blessings of Allah be upon him) was born, he asked the Quraysh in a meeting on that day.’ Do you know that a great child was born in your nation last night?’ On inquiry, it came to know that a child was born to Hazrat Abdullah, the son of Hazrat Abdul Muttalib, from the womb of Hazrat Amina bint Wahib.
On the request of the Jew, those people took him to the house of Hazrat Abdul Muttalib. When Muhammadﷺ was brought before this Jew, people saw that he was brighter than the blessed moon. Light was appearing from the face and forehead. The Jew opened his back and saw a wart between his shoulders (the seal of prophethood in which there was a row of hair like a horse's mane), he fainted. When he regained consciousness, the people of Quraysh asked him: ""Hey, what happened to you?""
That Jew began to cry and said: ""Today the chain of prophethood has been transferred from us Bani Israel to your nation.""
Then when his health recovered, he congratulated Quraysh for this blessing and said that now this news will spread from east to west.
"
-51 AH,11 Rabi al Awwal,Wed,Apr 22,571,1,3,,
-51 AH,12 Rabi al Awwal,Thu,Apr 23,571,1,4,Birth of Prophet,"In the first few days, his mother  Hazrat Amina breastfed him, two or three days later, Hazrat Thuwaibah (RA) had the privilege of nursing him. Uncle Abu Lahab's concubine, Abu Lahab freed her in the joy of the birth of the Prophet (peace be upon him), Hazrat Thuwaibah (RA) had also breastfed his uncle Hazrat Hamza (RA), who was the same age as him, and a few other women also breastfed the Prophet (PBUH)."
-51 AH,13 Rabi al Awwal,Fri,Apr 24,571,1,5,,
-51 AH,14 Rabi al Awwal,Sat,Apr 25,571,1,6,,
-51 AH,15 Rabi al Awwal,Sun,Apr 26,571,1,7,,
-51 AH,16 Rabi al Awwal,Mon,Apr 27,571,1,8,,
-51 AH,17 Rabi al Awwal,Tue,Apr 28,571,1,9,,
-51 AH,18 Rabi al Awwal,Wed,Apr 29,571,1,10,,
-51 AH,19 Rabi al Awwal,Thu,Apr 30,571,1,11,,
-51 AH,20 Rabi al Awwal,Fri,May 01,571,1,12,,
-51 AH,21 Rabi al Awwal,Sat,May 02,571,1,13,,
-51 AH,22 Rabi al Awwal,Sun,May 03,571,1,14,,
-51 AH,23 Rabi al Awwal,Mon,May 04,571,1,15,,
-51 AH,24 Rabi al Awwal,Tue,May 05,571,1,16,,
-51 AH,25 Rabi al Awwal,Wed,May 06,571,1,17,,
-51 AH,26 Rabi al Awwal,Thu,May 07,571,1,18,,
-51 AH,27 Rabi al Awwal,Fri,May 08,571,1,19,,
-51 AH,28 Rabi al Awwal,Sat,May 09,571,1,20,,
-51 AH,29 Rabi al Awwal,Sun,May 10,571,1,21,,
-51 AH,30 Rabi al Awwal,Mon,May 11,571,1,22,,
-51 AH,1 Rabi al Thani,Tue,May 12,571,1,23,,
-51 AH,2 Rabi al Thani,Wed,May 13,571,1,24,,
-51 AH,3 Rabi al Thani,Thu,May 14,571,1,25,,
-51 AH,4 Rabi al Thani,Fri,May 15,571,1,26,,
-51 AH,5 Rabi al Thani,Sat,May 16,571,1,27,,
-51 AH,6 Rabi al Thani,Sun,May 17,571,1,28,,
-51 AH,7 Rabi al Thani,Mon,May 18,571,1,29,,
-51 AH,8 Rabi al Thani,Tue,May 19,571,1,30,,
-51 AH,9 Rabi al Thani,Wed,May 20,571,1,31,,
-51 AH,10 Rabi al Thani,Thu,May 21,571,1,32,,
-51 AH,11 Rabi al Thani,Fri,May 22,571,1,33,,
-51 AH,12 Rabi al Thani,Sat,May 23,571,1,34,,
-51 AH,13 Rabi al Thani,Sun,May 24,571,1,35,,
-51 AH,14 Rabi al Thani,Mon,May 25,571,1,36,,
-51 AH,15 Rabi al Thani,Tue,May 26,571,1,37,,
-51 AH,16 Rabi al Thani,Wed,May 27,571,1,38,,
-51 AH,17 Rabi al Thani,Thu,May 28,571,1,39,,
-51 AH,18 Rabi al Thani,Fri,May 29,571,1,40,,
-51 AH,19 Rabi al Thani,Sat,May 30,571,1,41,,
-51 AH,20 Rabi al Thani,Sun,May 31,571,1,42,,
-51 AH,21 Rabi al Thani,Mon,Jun 01,571,1,43,,
-51 AH,22 Rabi al Thani,Tue,Jun 02,571,1,44,,
-51 AH,23 Rabi al Thani,Wed,Jun 03,571,1,45,,
-51 AH,24 Rabi al Thani,Thu,Jun 04,571,1,46,,
-51 AH,25 Rabi al Thani,Fri,Jun 05,571,1,47,,
-51 AH,26 Rabi al Thani,Sat,Jun 06,571,1,48,,
-51 AH,27 Rabi al Thani,Sun,Jun 07,571,1,49,,
-51 AH,28 Rabi al Thani,Mon,Jun 08,571,1,50,,
-51 AH,29 Rabi al Thani,Tue,Jun 09,571,1,51,,
